id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,house_age,renovated,living_to_lot_ratio,bath_per_bed,rooms_per_floor
7129300520,164,221900,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,70,0,0.20881259953990444,0.25,3.9603960396039604
6414100192,220,538000,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,74,1,0.3548253486124534,0.5625,2.611940298507463
5631500400,290,180000,2,1.0,770,10000,1.0,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062,92,0,0.07699230076992301,0.3333333333333333,2.9702970297029703
2487200875,220,604000,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,60,0,0.3919216156768646,0.6,6.930693069306931
1954400510,283,510000,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,38,0,0.2078950624922658,0.5,4.9504950495049505
7237550310,10,1225000,4,4.5,5420,101930,1.0,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930,24,0,0.05317322502477166,0.9,8.415841584158416
1321400060,56,257500,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,30,0,0.25146627565982405,0.5625,2.611940298507463
2008000270,251,291850,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,62,0,0.10914332784184513,0.375,4.455445544554456
2414600126,339,229500,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,65,0,0.23825458439298622,0.25,3.9603960396039604
3793500160,305,323000,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,22,0,0.2880658436213992,0.625,2.736318407960199
1736800520,327,662500,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925,60,0,0.363376543839951,0.625,5.445544554455446
9212900260,25,468000,2,1.0,1160,6000,1.0,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,83,0,0.19330111648058657,0.3333333333333333,2.9702970297029703
114101516,26,310000,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,98,0,0.07185207516832479,0.25,2.6490066225165565
6054650070,158,400000,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,48,0,0.14151430637330853,0.4375,4.702970297029703
1175000570,305,530000,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850,125,0,0.373118944547516,0.3333333333333333,4.635761589403973
9297300055,259,650000,4,3.0,2950,5000,2.0,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000,46,0,0.589882023595281,0.6,3.4825870646766175
1875500060,90,395000,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,31,0,0.13460579730788405,0.5,2.4875621890547266
6865200140,27,485000,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300,109,0,0.372006510113927,0.2,3.3112582781456954
16000397,216,189000,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,104,0,0.12181504415795351,0.3333333333333333,2.9702970297029703
7983200060,348,230000,3,1.0,1250,9774,1.0,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,56,0,0.1278772378516624,0.25,3.9603960396039604
6300500875,12,385000,4,1.75,1620,4980,1.0,0,0,4,7,860,760,1947,0,98133,47.7025,-122.341,1400,4980,78,0,0.3252358964063441,0.35,5.693069306930693
2524049179,116,2000000,3,2.75,3050,44867,1.0,0,4,3,9,2330,720,1968,0,98040,47.5316,-122.233,4110,20336,57,0,0.06797717749843987,0.6875,5.693069306930693
7137970340,62,285000,5,2.5,2270,6300,2.0,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005,30,0,0.3602602761466434,0.4166666666666667,3.73134328358209
8091400200,14,252700,2,1.5,1070,9643,1.0,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386,40,0,0.11094981335545417,0.5,3.4653465346534653
3814700200,202,329000,3,2.25,2450,6500,2.0,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.172,2200,6865,40,0,0.37686509767728044,0.5625,2.611940298507463
1202000200,185,233000,3,2.0,1710,4697,1.5,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.218,1030,4705,84,0,0.36398467432950193,0.5,3.3112582781456954
1794500383,55,937000,3,1.75,2450,2691,2.0,0,0,3,8,1750,700,1915,0,98119,47.6386,-122.36,1760,3573,110,0,0.9101040118870728,0.4375,2.3631840796019903
3303700376,212,667000,3,1.0,1400,1581,1.5,0,0,5,8,1400,0,1909,0,98112,47.6221,-122.314,1860,3861,116,0,0.8849557522123894,0.25,2.6490066225165565
5101402488,53,438000,3,1.75,1520,6380,1.0,0,0,3,7,790,730,1948,0,98115,47.695,-122.304,1520,6235,77,0,0.23820717755837642,0.4375,4.702970297029703
1873100390,295,719000,4,2.5,2570,7173,2.0,0,0,3,8,2570,0,2005,0,98052,47.7073,-122.11,2630,6026,20,0,0.3582380819626429,0.5,3.2338308457711444
8562750320,192,580500,3,2.5,2320,3980,2.0,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,2580,3980,22,0,0.5827681487063552,0.625,2.736318407960199
2426039314,212,280000,2,1.5,1190,1265,3.0,0,0,3,7,1190,0,2005,0,98133,47.7274,-122.357,1390,1756,20,0,0.9399684044233807,0.5,1.1627906976744187
461000390,53,687500,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,98117,47.6823,-122.368,1460,5000,96,0,0.46590681863627276,0.35,3.80794701986755
7589200193,192,535000,3,1.0,1090,3000,1.5,0,0,4,8,1090,0,1929,0,98117,47.6889,-122.375,1570,5080,96,0,0.3632122625791403,0.25,2.6490066225165565
7955080270,214,322500,4,2.75,2060,6659,1.0,0,0,3,7,1280,780,1981,0,98058,47.4276,-122.157,2020,8720,44,0,0.30930930930930933,0.55,6.683168316831683
9547205180,42,696000,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,98115,47.6827,-122.31,1590,3264,95,1,0.7513884351519111,0.625,3.642384105960265
9435300030,26,550000,4,1.0,1660,34848,1.0,0,0,1,5,930,730,1933,0,98052,47.6621,-122.132,2160,11467,92,0,0.04763407845275331,0.2,4.9504950495049505
2768000400,239,640000,4,2.0,2360,6000,2.0,0,0,4,8,2360,0,1904,0,98107,47.6702,-122.362,1730,4700,121,0,0.393267788701883,0.4,2.985074626865672
7895500070,278,240000,4,1.0,1220,8075,1.0,0,0,2,7,890,330,1969,0,98001,47.3341,-122.282,1290,7800,56,0,0.1510648836057454,0.2,4.9504950495049505
2078500320,49,605000,4,2.5,2620,7553,2.0,0,0,3,8,2620,0,1996,0,98056,47.5301,-122.18,2620,11884,29,0,0.34683611331744774,0.5,3.2338308457711444
5547700270,74,625000,4,2.5,2570,5520,2.0,0,0,3,9,2570,0,2000,0,98074,47.6145,-122.027,2470,5669,25,0,0.4654953812715088,0.5,3.2338308457711444
7766200013,101,775000,4,2.25,4220,24186,1.0,0,0,3,8,2600,1620,1984,0,98166,47.445,-122.347,2410,30617,41,0,0.17447389093314591,0.45,6.188118811881188
7203220400,66,861990,5,2.75,3595,5639,2.0,0,0,3,9,3595,0,2014,0,98053,47.6848,-122.016,3625,5639,11,0,0.6374113475177305,0.4583333333333333,3.8557213930348264
9270200160,179,685000,3,1.0,1570,2280,2.0,0,0,3,7,1570,0,1922,0,98119,47.6413,-122.364,1580,2640,103,0,0.6882946076282332,0.25,1.9900497512437814
1432701230,88,309000,3,1.0,1280,9656,1.0,0,0,4,6,920,360,1959,0,98058,47.4485,-122.175,1340,8808,66,0,0.13254633944289115,0.25,3.9603960396039604
8035350320,77,488000,3,2.5,3160,13603,2.0,0,0,3,8,3160,0,2003,0,98019,47.7443,-121.977,3050,9232,22,0,0.23228462216995002,0.625,2.736318407960199
8945200830,318,210490,3,1.0,990,8528,1.0,0,0,3,6,990,0,1966,0,98023,47.3066,-122.371,1228,8840,59,0,0.1160745691171298,0.25,3.9603960396039604
4178300310,75,785000,4,2.5,2290,13416,2.0,0,0,4,9,2290,0,1981,0,98007,47.6194,-122.151,2680,13685,44,0,0.1706789893418797,0.5,3.2338308457711444
9215400105,352,450000,3,1.75,1250,5963,1.0,0,0,4,7,1250,0,1953,0,98115,47.6796,-122.301,970,5100,72,0,0.20959087860496312,0.4375,4.702970297029703
822039084,304,1350000,3,2.5,2753,65005,1.0,1,2,5,9,2165,588,1953,0,98070,47.4041,-122.451,2680,72513,72,0,0.04234993692889887,0.625,5.445544554455446
5245600105,137,228000,3,1.0,1190,9199,1.0,0,0,3,7,1190,0,1955,0,98148,47.4258,-122.322,1190,9364,70,0,0.12934782608695652,0.25,3.9603960396039604
7231300125,282,345000,5,2.5,3150,9134,1.0,0,0,4,8,1640,1510,1966,0,98056,47.4934,-122.189,1990,9133,59,0,0.3448275862068966,0.4166666666666667,7.425742574257426
7518505990,240,600000,3,1.75,1410,4080,1.0,0,0,4,7,1000,410,1950,0,98117,47.6808,-122.384,1410,4080,75,0,0.3455035530507229,0.4375,4.702970297029703
3626039271,271,585000,2,1.75,1980,8550,1.0,0,0,3,7,990,990,1981,0,98117,47.6989,-122.369,1480,6738,44,0,0.23155186527891475,0.5833333333333334,3.712871287128713
4217401195,296,920000,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,0,98105,47.6571,-122.281,2730,6000,98,0,0.4549241793034494,0.375,4.801324503311259
9822700295,10,885000,4,2.5,2830,5000,2.0,0,0,3,9,2830,0,1995,0,98105,47.6597,-122.29,1950,5000,30,0,0.5658868226354729,0.5,3.2338308457711444
9478500640,109,292500,4,2.5,2250,4495,2.0,0,0,3,7,2250,0,2008,0,98042,47.3663,-122.114,2250,4500,17,0,0.5004448398576512,0.5,3.2338308457711444
2799800710,331,301000,3,2.5,2420,4750,2.0,0,0,3,8,2420,0,2003,0,98042,47.3663,-122.122,2690,4750,22,0,0.5093664491685961,0.625,2.736318407960199
7922800400,117,951000,5,3.25,3250,14342,2.0,0,4,4,8,3250,0,1968,0,98008,47.588,-122.116,2960,11044,57,0,0.2265913686118664,0.5416666666666666,4.104477611940299
